NAME_2,Carbon_emission
Anyang,106.16
Hebi,27.57
Zhoukou,7.16
Zhumadian,24.80
Handan,190.54
Jincheng,137.36
Yuncheng,62.25
Jiyuan,32.03
Kaifeng,16.52
Sanmenxia,26.55
Shangqiu,86.46
Bengbu,13.49
Huaibei,70.03
Suzhou,36.01
Heze,97.29
Liaocheng,71.07
Jiaozuo,25.75
Luoyang,119.96
Nanyang,37.17
Pingdingshan,148.18
Xinyang,30.13
Xuchang,62.40
Zhengzhou,86.90
Bozhou,10.74
Xingtai,96.20
Changzhi,245.28
Puyang,15.29
Xinxiang,33.31
Fuyang,11.83
Luohe,NA
